index_code,date,open,close,low,high,volume,money,change,label
'000001,2007/10/29,5641.98,5748,5617.98,5750.25,50164402,82105126005,2.8332,5589.63
'000001,2007/10/30,5769.2,5897.19,5701.34,5899.65,54278820,90650586733,2.5956,5748
'000001,2007/10/31,5984.71,5954.77,5871.48,6002.12,71029564,1.19E+11,0.9763,5897.19
'000001,2007/11/1,5978.94,5914.29,5912.5,6005.13,64885103,1.11E+11,-0.6798,5954.77
'000001,2007/11/2,5812.47,5777.81,5740.4,5860.59,59541596,1.06E+11,-2.3076,5914.29
'000001,2007/11/5,5748.18,5634.45,5603.47,5787.23,64132597,1.55E+11,-2.4812,5777.81
'000001,2007/11/6,5593.35,5536.57,5510.16,5649.75,45068039,83589505632,-1.7372,5634.45
'000001,2007/11/7,5565.65,5601.78,5469.76,5610.95,42730328,76304024265,1.1779,5536.57
'000001,2007/11/8,5559.15,5330.02,5328.2,5559.15,48924662,83761375819,-4.8513,5601.78
'000001,2007/11/9,5276.01,5315.54,5217.63,5382.7,47341262,80762049341,-0.2717,5330.02
'000001,2007/11/12,5181.18,5187.74,5032.58,5250.09,52582703,87430687546,-2.4044,5315.54
'000001,2007/11/13,5239.34,5158.12,5085.44,5311.7,49237316,83044466204,-0.5709,5187.74
'000001,2007/11/14,5246.57,5412.69,5165.06,5414.61,50992880,88064090042,4.9354,5158.12
'000001,2007/11/15,5391.02,5365.27,5338.91,5453.74,47819419,80951217498,-0.8762,5412.69
'000001,2007/11/16,5273.08,5316.27,5224.31,5335.51,37387331,61636813375,-0.9132,5365.27
'000001,2007/11/19,5325.3,5269.82,5240.42,5333.09,41097731,63156668426,-0.8739,5316.27
'000001,2007/11/20,5230.74,5293.7,5158.54,5338.17,49057398,79327370645,0.4533,5269.82
'000001,2007/11/21,5307.79,5214.23,5206.57,5344.93,41231609,65960121678,-1.5014,5293.7
'000001,2007/11/22,5113.88,4984.16,4969.89,5154.86,40370330,64731749519,-4.4122,5214.23
'000001,2007/11/23,4946.26,5032.13,4896.99,5034.23,30872962,50207938676,0.9624,4984.16
'000001,2007/11/26,5102.53,4958.85,4952.43,5124.89,36755797,60055135786,-1.4563,5032.13
'000001,2007/11/27,4919.91,4861.11,4857.04,4947.08,30833864,52767856410,-1.971,4958.85
'000001,2007/11/28,4870.84,4803.39,4778.73,4907.76,32756757,53258090310,-1.1873,4861.11
'000001,2007/11/29,4870.86,5003.33,4814.78,5011.19,50071545,81196484473,4.1625,4803.39
'000001,2007/11/30,4993.74,4871.78,4861.86,4993.74,43314662,70500393745,-2.6293,5003.33
'000001,2007/12/3,4838.56,4868.61,4798.01,4899.67,53750775,70035318108,-0.065,4871.78
'000001,2007/12/4,4882.15,4915.89,4882.15,4971.4,42835766,60774976314,0.9711,4868.61
'000001,2007/12/5,4917.37,5042.65,4893.32,5052.75,54299786,79741842419,2.5787,4915.89
'000001,2007/12/6,5055.84,5035.07,4995.47,5065.51,43159311,64467198004,-0.1503,5042.65
'000001,2007/12/7,5038.48,5091.76,5021.37,5096.8,49961574,71663449290,1.1258,5035.07
'000001,2007/12/10,5010.83,5161.92,4990.72,5168.76,68817889,1.07E+11,1.378,5091.76
'000001,2007/12/11,5180.54,5175.08,5103.75,5209.71,66848427,1.06E+11,0.2549,5161.92
'000001,2007/12/12,5148.25,5095.54,5054.57,5149.93,72156227,1.13E+11,-1.5368,5175.08
'000001,2007/12/13,5078.18,4958.04,4954.36,5095.15,67283324,1.05E+11,-2.6984,5095.54
'000001,2007/12/14,4899.75,5007.91,4860.16,5011.2,53052727,81629334280,1.0058,4958.04
'000001,2007/12/17,5007.29,4876.76,4874.62,5007.35,63546722,1.02E+11,-2.6189,5007.91
'000001,2007/12/18,4856.47,4836.17,4812.16,4905.49,40558047,64859941016,-0.8323,4876.76
'000001,2007/12/19,4878.07,4941.78,4868.35,4960.42,56275775,86406307921,2.1838,4836.17
'000001,2007/12/20,4965.29,5043.54,4923.3,5050.79,57742689,87842464915,2.059,4941.78
'000001,2007/12/21,5017.2,5101.78,5013.76,5112.39,66142705,1.03E+11,1.1548,5043.54
'000001,2007/12/24,5132.91,5234.26,5104.65,5284.34,85080422,1.4E+11,2.5968,5101.78
'000001,2007/12/25,5233.18,5201.18,5178.8,5254.41,71023624,1.25E+11,-0.632,5234.26
'000001,2007/12/26,5209.04,5233.35,5158.76,5262.59,74458628,1.23E+11,0.6185,5201.18
'000001,2007/12/27,5248.22,5308.89,5203.5,5316.52,87324184,1.47E+11,1.4434,5233.35
'000001,2007/12/28,5320.01,5261.56,5248.69,5336.5,77187038,1.34E+11,-0.8914,5308.89
'000001,2008/1/2,5265,5272.81,5201.89,5295.02,76566609,1.33E+11,0.2138,5261.56
'000001,2008/1/3,5269.8,5319.86,5211.05,5321.46,98510323,1.7E+11,0.8923,5272.81
'000001,2008/1/4,5328.41,5361.57,5318.46,5372.46,80875238,1.46E+11,0.7841,5319.86
'000001,2008/1/7,5357.45,5393.34,5332.6,5403.35,91933001,1.62E+11,0.5925,5361.57
'000001,2008/1/8,5414.56,5386.53,5344.65,5480.07,102477863,1.85E+11,-0.1263,5393.34
'000001,2008/1/9,5365.22,5435.81,5346.85,5437.76,76805862,1.39E+11,0.9148,5386.53
'000001,2008/1/10,5449.16,5456.54,5407.31,5483.83,96553285,1.74E+11,0.3814,5435.81
'000001,2008/1/11,5471.39,5484.68,5423.81,5500.06,87724750,1.56E+11,0.5156,5456.54
'000001,2008/1/14,5507.58,5497.9,5456.93,5522.78,78714090,1.42E+11,0.2411,5484.68
'000001,2008/1/15,5503.93,5443.79,5405.6,5505.04,80719506,1.52E+11,-0.9842,5497.9
'000001,2008/1/16,5395.28,5290.61,5288.77,5396.04,89278341,1.62E+11,-2.8139,5443.79
'000001,2008/1/17,5235.91,5151.63,5039.79,5312.29,98941952,1.75E+11,-2.6269,5290.61
'000001,2008/1/18,5141.37,5180.51,5093.13,5187.61,68635625,1.18E+11,0.5608,5151.63
'000001,2008/1/21,5188.8,4914.44,4891.29,5200.93,75643958,1.3E+11,-5.1362,5180.51
'000001,2008/1/22,4818,4559.75,4511.95,4818,92491351,1.55E+11,-7.2172,4914.44
'000001,2008/1/23,4572.9,4703.05,4510.5,4705.07,87963973,1.4E+11,3.1426,4559.75
'000001,2008/1/24,4753.45,4717.73,4625.46,4767.8,90038158,1.49E+11,0.3123,4703.05
'000001,2008/1/25,4716.98,4761.69,4657.71,4806.89,77928370,1.29E+11,0.9317,4717.73
'000001,2008/1/28,4720.56,4419.29,4409.08,4720.56,69350257,1.09E+11,-7.1906,4761.69
'000001,2008/1/29,4426.27,4457.94,4389.52,4517.6,50356220,79564816502,0.8746,4419.29
'000001,2008/1/30,4505.64,4417.85,4330.7,4554.34,55080037,92566887231,-0.8994,4457.94
'000001,2008/1/31,4408.02,4383.39,4368.3,4487.32,45141558,76189312077,-0.7799,4417.85
'000001,2008/2/1,4388.25,4320.77,4195.75,4411.7,59307142,96452528217,-1.4287,4383.39
'000001,2008/2/4,4415.02,4672.17,4415.02,4672.21,63374578,1.09E+11,8.1329,4320.77
'000001,2008/2/5,4622.54,4599.7,4550.43,4662.97,52619684,93410147301,-1.5512,4672.17
'000001,2008/2/13,4525.03,4490.72,4454.64,4547.54,36914151,61549818305,-2.3692,4599.7
'000001,2008/2/14,4527.05,4552.32,4507.94,4576.98,34913005,57516976533,1.3716,4490.72
'000001,2008/2/15,4523.79,4497.13,4431.46,4523.79,41386516,66980796498,-1.2123,4552.32
'000001,2008/2/18,4546.75,4568.15,4517.6,4601.22,55824610,92538618791,1.5793,4497.13
'000001,2008/2/19,4582.28,4664.3,4544.94,4665.55,60663188,1.03E+11,2.1047,4568.15
'000001,2008/2/20,4682.59,4567.03,4556.81,4695.8,66474653,1.15E+11,-2.0854,4664.3
'000001,2008/2/21,4534.17,4527.18,4452.68,4568.21,61309148,1E+11,-0.8725,4567.03
'000001,2008/2/22,4500.39,4370.29,4333.03,4500.39,67601983,1.1E+11,-3.4656,4527.18
'000001,2008/2/25,4370.19,4192.53,4182.77,4391.33,58811935,93047459906,-4.0673,4370.29
'000001,2008/2/26,4302.74,4238.18,4123.31,4331.64,55686631,89872770439,1.0887,4192.53
'000001,2008/2/27,4256.53,4334.05,4222.46,4360.7,50524991,82967322680,2.262,4238.18
'000001,2008/2/28,4343.28,4299.51,4265.5,4344.93,47922253,75527784864,-0.7968,4334.05
'000001,2008/2/29,4293.53,4348.54,4275.9,4364.81,47835383,75515513719,1.1404,4299.51
'000001,2008/3/3,4323.7,4438.27,4279.35,4456.96,78513840,1.25E+11,2.0633,4348.54
'000001,2008/3/4,4454.18,4335.45,4321.27,4472.15,86956515,1.36E+11,-2.3166,4438.27
'000001,2008/3/5,4316.25,4292.65,4210.96,4352.82,74109680,1.14E+11,-0.987,4335.45
'000001,2008/3/6,4310.35,4360.99,4260.79,4427.5,84932145,1.33E+11,1.5918,4292.65
'000001,2008/3/7,4315.81,4300.52,4265.83,4341.3,56747402,92203521881,-1.3866,4360.99
'000001,2008/3/10,4265.61,4146.3,4120.53,4265.61,65682205,97355257730,-3.586,4300.52
'000001,2008/3/11,4121.65,4165.88,4063.47,4165.92,51333439,79620807569,0.4722,4146.3
'000001,2008/3/12,4254.67,4070.12,4068.78,4272.98,57224458,88663903677,-2.2987,4165.88
'000001,2008/3/13,4033.32,3971.26,3902.25,4055.45,63653400,96343796075,-2.4289,4070.12
'000001,2008/3/14,3956.75,3962.67,3891.7,4000.78,41407257,64286805135,-0.2162,3971.26
'000001,2008/3/17,3941.26,3820.05,3813,3941.26,49100273,73613176822,-3.5992,3962.67
'000001,2008/3/18,3789.57,3668.9,3607.25,3862.77,57861001,79535892252,-3.9568,3820.05
'000001,2008/3/19,3746.05,3761.61,3677.82,3813.89,61586643,88277827845,2.5269,3668.9
'000001,2008/3/20,3721.5,3804.05,3516.33,3857.62,73262694,1.06E+11,1.1285,3761.61
'000001,2008/3/21,3790.11,3796.58,3746.4,3838.06,65093464,96409712714,-0.1966,3804.05
'000001,2008/3/24,3830.35,3626.19,3624.94,3840.48,58959678,88537601512,-4.4879,3796.58
'000001,2008/3/25,3559.94,3629.62,3521.53,3659.21,52765336,77829673385,0.0946,3626.19
'000001,2008/3/26,3644.13,3606.86,3591.11,3698.33,46251818,70507849558,-0.6271,3629.62
'000001,2008/3/27,3541.28,3411.49,3407.9,3541.28,55069866,76938808898,-5.4165,3606.86
'000001,2008/3/28,3378.63,3580.15,3357.23,3590.75,63291684,90291919934,4.9437,3411.49
'000001,2008/3/31,3465.91,3472.71,3445.56,3555.82,47113469,66825473192,-3.0008,3580.15
'000001,2008/4/1,3461.09,3329.16,3308.9,3493.13,54831376,73093942424,-4.1337,3472.71
'000001,2008/4/2,3370.6,3347.88,3283.64,3464.53,65487286,86430288912,0.5623,3329.16
'000001,2008/4/3,3323.43,3446.24,3271.29,3456.95,50889224,66413044115,2.938,3347.88
'000001,2008/4/7,3418.52,3599.62,3386.51,3613.48,60994537,84589696329,4.4505,3446.24
'000001,2008/4/8,3604.26,3612.54,3563.85,3656.96,65484823,92719515541,0.359,3599.62
'000001,2008/4/9,3585.85,3413.91,3413.07,3606.89,59852049,81203386708,-5.4984,3612.54
'000001,2008/4/10,3378.14,3471.74,3344.87,3474.31,45455150,59699251838,1.6941,3413.91
'000001,2008/4/11,3498.56,3492.89,3462.14,3517.82,43284244,58985569091,0.6092,3471.74
